_USER_NAME,_NAME,_RATING,_BIZ_NAME
3CP7H_M5PcC-4VDYylEJXw,Baramee C.,5.0,le-bernardin-new-york
yVEZUCVWL2CxJpZKQoHKyQ,Minnie M.,4.0,le-bernardin-new-york
Pf7lmGST22FHadO4wADG2Q,Ha- R.,5.0,le-bernardin-new-york
6C6VcPoq1DoTpaFxNEfiyg,Ting Hin C.,5.0,le-bernardin-new-york
0mKoeaWELNF4FVUWVJUQeA,Lulu C.,5.0,le-bernardin-new-york
V1ntmNPffmMa80gF7BIgyA,Tonya G.,2.0,le-bernardin-new-york
hjbljNSmdUW8R34UiIm9Bg,Monte H.,5.0,le-bernardin-new-york
O89WFc_iyT9s2XSzdUJDCw,Harry P.,5.0,le-bernardin-new-york
x7u1pveICoOMn6osdojIOw,Alex S.,4.0,le-bernardin-new-york
TpoEbWhvcNZrXtkoScNZ2Q,Lindsay S.,5.0,le-bernardin-new-york
fxr-jszt2bHtFzRK9CWoug,Diane B.,5.0,le-bernardin-new-york
WZwIVAb5rG-mG7H9B4bPJg,Mario P.,5.0,le-bernardin-new-york
zxh7vcqXvT0_XFshVLVenw,Vince L.,4.0,le-bernardin-new-york
nzsv-p1O8gCfP3XijfQrIw,Anita L.,2.0,le-bernardin-new-york
mwRBFkkoJwJ6EyPSXL8LtQ,Jen L.,4.0,le-bernardin-new-york
egDymReIGgB2USiHWVSASw,Lee M.,5.0,le-bernardin-new-york
zgq5E4WgIZf6ydUWNlqgVw,Davis A.,5.0,le-bernardin-new-york
pWmuXLrxwJF7ol9qWijt0A,Ray C.,5.0,le-bernardin-new-york
v4OSDIDxgwqpa4bvH4QIqg,Al D.,5.0,le-bernardin-new-york
ELWxPuTolEKgHLDTPg8ITg,Bryan F.,5.0,le-bernardin-new-york
7Qs8unMYMr33tbhYuMjU3g,Edward F.,5.0,le-bernardin-new-york
rA-a9Zu2p3yi_7VAzvzbsg,Laura R.,5.0,le-bernardin-new-york
eTKhO09d1UKFg9M0ZMSGdw,Natasha B.,5.0,le-bernardin-new-york
sgHTr8HOGnIcngUKWe6yMA,Ying L.,4.0,le-bernardin-new-york
VWozeGkL09IzDdzsasGS2w,Scott M.,5.0,le-bernardin-new-york
P4Df9eB4HAiMXn3Oz8VYUA,serina c.,4.0,le-bernardin-new-york
K01ALYnIV2iF59ExQOrrOw,Andrew L.,5.0,le-bernardin-new-york
YNNHEychqsxERsSx9IJ4iw,Chini S.,5.0,le-bernardin-new-york
bcHgPhn8sgmgMR-IkmL0Jw,Saskia S.,4.0,le-bernardin-new-york
qXidFO36FX1dg27yqQP4ww,Namik G.,5.0,le-bernardin-new-york
82VT9Ub4HxhQ2NzUG04n_Q,Willie W.,5.0,le-bernardin-new-york
SxqYFeG134uQbLch1rzrow,Eric T.,4.0,le-bernardin-new-york
skq1pdze_JeAXm05eBSdDA,Kelly P.,5.0,le-bernardin-new-york
PP9yuOMmbHt4W-WekmRFGw,Kira S.,5.0,le-bernardin-new-york
D0pTil0lwCVaamDYuoBRkw,Marianne S.,5.0,le-bernardin-new-york
zJiooZnU2ux8YWIPWd-s-Q,Sean H.,5.0,le-bernardin-new-york
T_C2-KVxN0gOwH7iX69iKg,Claire P.,5.0,le-bernardin-new-york
OMr4L_mbsMG__NQoWoDFJQ,Olivia S.,5.0,le-bernardin-new-york
tTqg7xk6-wAs_4gqSErcnA,Nick D.,5.0,babbo-ristorante-e-enoteca-new-york
bFRD3e1nDwI9fLlI-BHrGg,Stephanie S.,3.0,babbo-ristorante-e-enoteca-new-york
wHbgSx6A6HZVr0rLfjjXrQ,Marianne S.,3.0,babbo-ristorante-e-enoteca-new-york
urqtKpxG3VM6C2vxhb1ilA,James Z.,4.0,babbo-ristorante-e-enoteca-new-york
9GOk4F9pcO6Q8E2OTD5zrw,Linh V.,4.0,babbo-ristorante-e-enoteca-new-york
UNxF95Sjn336mBcKmZbWrg,vivian w.,4.0,babbo-ristorante-e-enoteca-new-york
ocvxKMeI82lhqdWKimi45g,Esta Y.,5.0,babbo-ristorante-e-enoteca-new-york
w4MlcTNAqVLePZFb3DuiEg,Wesley H.,5.0,babbo-ristorante-e-enoteca-new-york
boFDwijiIoOT_tIkN3bj-Q,Maxwell H.,2.0,babbo-ristorante-e-enoteca-new-york
gjglDJ_poYAhmpxK7Zv0FA,Chantel C.,4.0,babbo-ristorante-e-enoteca-new-york
QWxW_pApmpY9iPApC8P-UQ,Kelvin C.,4.0,babbo-ristorante-e-enoteca-new-york
WlhUaI9enW0k6uEI1zIOmw,Adam W.,1.0,babbo-ristorante-e-enoteca-new-york
XQMaAvF3YUslCD-0tZY1xg,Brian D.,3.0,babbo-ristorante-e-enoteca-new-york
x7u1pveICoOMn6osdojIOw,Alex S.,5.0,babbo-ristorante-e-enoteca-new-york
2hTv4J0CkiuGyuAMDrZKYA,smeg g.,1.0,babbo-ristorante-e-enoteca-new-york
5tIbtrnf9C2WPPf-DiyrmA,Nanako E.,5.0,babbo-ristorante-e-enoteca-new-york
jhqxQa3X443j0U8q3ks-KA,Arben S.,5.0,babbo-ristorante-e-enoteca-new-york
TQ3aV2cxI_nYlGZ4jCrBsA,Stephanie C.,5.0,babbo-ristorante-e-enoteca-new-york
2ks7fOj2l0ieynM04r3VRA,Doreen X.,3.0,babbo-ristorante-e-enoteca-new-york
8Z9ugoA4MGwiJVh-CB8bhQ,Esther A.,5.0,babbo-ristorante-e-enoteca-new-york
XE_udxhjyq8wChF9E4EXdQ,Diana C.,5.0,babbo-ristorante-e-enoteca-new-york
-3Mzc2O6jmYLWQJcIJdvAA,Quinn C.,2.0,babbo-ristorante-e-enoteca-new-york
YGHp8XlRkzbXQyGLh7U0Eg,Adam C.,5.0,babbo-ristorante-e-enoteca-new-york
kYlL3EGY_YtiYjsoODBUpw,Jim D.,5.0,babbo-ristorante-e-enoteca-new-york
mi6gHB1s18xNZ14q8jVF2w,Loren O.,2.0,babbo-ristorante-e-enoteca-new-york
t6dnI9F0_MyLKNCxI591RA,Tracy K.,5.0,babbo-ristorante-e-enoteca-new-york
AlSKzFXrumeagLa4usWtAA,J D.,2.0,babbo-ristorante-e-enoteca-new-york
c7wuLKsifXms5BkRvl47mg,Kevin F.,5.0,babbo-ristorante-e-enoteca-new-york
Ui2Gzbuy-PmOMGQRtjLHoQ,Nancy M.,5.0,babbo-ristorante-e-enoteca-new-york
aYmu5znHF_VyxxjUxYICPw,Catherine G.,5.0,babbo-ristorante-e-enoteca-new-york
BUm_8zPUHoUcWyNvlppQkw,May N.,5.0,babbo-ristorante-e-enoteca-new-york
rYHtNuYdKWunHUZaEpzj-g,Martin L.,4.0,babbo-ristorante-e-enoteca-new-york
kjPzDFE6E5kp1dIJbNzrEA,Grace H.,5.0,babbo-ristorante-e-enoteca-new-york
JIZLOS5tsdblSR8hxCB6ZA,Gillian K.,3.0,babbo-ristorante-e-enoteca-new-york
TzYxxd2g8JwXbBdKmhWtBw,Mark S.,4.0,babbo-ristorante-e-enoteca-new-york
wEJOu92jzgxjZFkukd5O9g,Jennifer M.,2.0,babbo-ristorante-e-enoteca-new-york
yBByHjBmvXVWOJVR5HWjcg,Stef S.,4.0,babbo-ristorante-e-enoteca-new-york
kid-RQsL19lTpQ63_2lZ9w,CC W.,4.0,babbo-ristorante-e-enoteca-new-york
GMeTyMT1WsXA4Mbca1mMHg,Sara X.,1.0,babbo-ristorante-e-enoteca-new-york
vJ9GXhmGZhpZA_HSt4VhGA,Tiffany L.,5.0,babbo-ristorante-e-enoteca-new-york
SByjZSIio3Z869k6qOe2xg,Clarence G.,5.0,per-se-new-york
UFTEAOGGj-unUkdinM625Q,Gary P.,4.0,per-se-new-york
bXblSmsAmfm5q8FmM58cWg,Lindsay J.,5.0,per-se-new-york
tktdLsqZXjgHDgQbLaKpYg,Ivan M.,5.0,per-se-new-york
bwUb11KNZkFMEW1HhMjSvA,Jenny W.,5.0,per-se-new-york
TsULpo0l2GM9r61VN3fiBA,Iris M.,2.0,per-se-new-york
6C6VcPoq1DoTpaFxNEfiyg,Ting Hin C.,5.0,per-se-new-york
sapxQ9r06qyE1e8gJ1ywTQ,Josh R.,5.0,per-se-new-york
Q1epFZjvJ9-W2yAUF5rP-g,Amanda W.,2.0,per-se-new-york
o3W_Er0pkG3g0xx7QnWjuA,Randy C.,5.0,per-se-new-york
pWmuXLrxwJF7ol9qWijt0A,Ray C.,5.0,per-se-new-york
9RxGVkjN0BlcIjpXFTF2tw,Ken H.,4.0,per-se-new-york
Po-W5DgfcaH1Rwfy4DA7pQ,Pedantic S.,5.0,per-se-new-york
8lDhytUqtGrP8M8XoNCBEA,Robin K.,5.0,per-se-new-york
K6JCL78slzd7i-IQQGUc1A,Binh T.,5.0,per-se-new-york
wvCI_etK3sulkgHecMw38w,Clif P.,5.0,per-se-new-york
TlPSEbXfKBx7gafAx-XkVA,Meredith X.,5.0,per-se-new-york
ZRT08agKzNpfLiCboOfw-w,Aine Z.,5.0,per-se-new-york
Qb9n45naCAmpOlyH0ZS-Cw,Jeannie H.,5.0,per-se-new-york
pZQ8RxOeD4rY_tRTOoPSDQ,Kristina K.,5.0,per-se-new-york
4aKBSZVBUSq1nfTrOHlAvQ,Tina Y.,5.0,per-se-new-york
QC2oAoc7BGMjWDPtcIVL3g,Miriam Y.,4.0,per-se-new-york
6M-9DKPUoMRkHUMy5-9n3Q,Jacob T.,5.0,per-se-new-york
NSOJQuk3N6YVnYY3iVslcg,Emily Z.,5.0,per-se-new-york
XFR4tfX0LFE079es_FlQzA,Lu H.,2.0,per-se-new-york
82VT9Ub4HxhQ2NzUG04n_Q,Willie W.,5.0,per-se-new-york
1jtCyc4N0LaWSmY-_5hqVQ,Grace K.,5.0,per-se-new-york
d6e9GdKmVXeM6FVfMRSQIQ,elvir c.,5.0,per-se-new-york
AQD1EJMHV42TM-mXyIXGjg,Ken W.,5.0,per-se-new-york
le3Xn9Mheb1hNxWurF7RSw,Gregg M.,5.0,per-se-new-york
zH3dt6CdiHIvmfsDHcqTpA,Erick N.,3.0,per-se-new-york
FysDiqCS1fxxwC9PLHNqNg,Victoria E.,5.0,per-se-new-york
y8C1kzXYG5nFtR9MLWkBXQ,Ben T.,5.0,per-se-new-york
2LgAn3XIW_wYubsTs3r-kQ,S And B D.,5.0,per-se-new-york
L8FyLvIxMwqQmSQb0hzFMg,Kimberly F.,5.0,per-se-new-york
OOknpjk6Ce567Q3GIBhAow,Audrey L.,4.0,per-se-new-york
10Xfhcdi9PZiYUoNbHn3jg,Maria E.,5.0,per-se-new-york
iXKFs8BVVwdfcKRSPMl7Yg,Freddy C.,4.0,per-se-new-york
JuK93YhaCh_LeUYOLfCJaw,Alex E.,5.0,per-se-new-york
0W2GpAT-Q0WMthWW1OqFgg,X L.,5.0,per-se-new-york
TZelLnaGbHgaG7LBI6rfgg,Jonathan W.,5.0,ai-fiori-new-york
bDmMAZ46rhEAjOP5cmokWg,jae z.,4.0,ai-fiori-new-york
Cosv6Xeby6fWZkmjnjk3-Q,Jan Y.,3.0,ai-fiori-new-york
x0KsUGST3w8fzYyQQ81FAw,Christine T.,4.0,ai-fiori-new-york
yUCzjLBSd8NtYjQQqAhz_A,Rob B.,3.0,ai-fiori-new-york
HOLIgF2ByPKfXzA6l1_fjg,Sebastian S.,5.0,ai-fiori-new-york
31x_rVPNRFGZ4PkSSR7TXg,Vic F.,5.0,ai-fiori-new-york
31gbSB7Vnhb7qYnx9-OmQg,Vinotaine E.,3.0,ai-fiori-new-york
MNJs3-IrFWvO_poZlAVTWw,Chad S.,4.0,ai-fiori-new-york
rhckKlErcgXF9TsWOa929A,David W.,4.0,ai-fiori-new-york
ajiBmXVNJ9FFUKMIJRSh7g,Jenna L.,5.0,ai-fiori-new-york
A5rr7IpzszJzYzcHZBnqSw,Jamie G.,5.0,ai-fiori-new-york
Dq_Jkpx4xpbh4iofayOr6g,Doreen L.,4.0,ai-fiori-new-york
Vuh2TzMfPp0OwC8gMpRuww,Karen P.,5.0,ai-fiori-new-york
C1xbJTRfP0lIfjR1fCQKxw,David G.,5.0,ai-fiori-new-york
dr_mce0J8Q-BLLOA23KuAQ,Tiffany D.,5.0,ai-fiori-new-york
aKigyTKquyDYQaIemMR4kg,Grace M.,5.0,ai-fiori-new-york
CMwZKSVHrqCxNPiSuvz91g,Ben H.,5.0,ai-fiori-new-york
V3dArEc-FxzlXwqEXjAiAg,Dianne K.,4.0,ai-fiori-new-york
43QXqwA8KBIb_m7IBtoEgQ,Allen Y.,5.0,ai-fiori-new-york
BSad_A8gpQ0_D-wrabpMLQ,Mee-stique K.,5.0,ai-fiori-new-york
DKulUOOXpLnY8hb-gmlxIQ,Steve K.,5.0,ai-fiori-new-york
a0ryppN3MwlUKbeS0MyS6A,Bos G.,4.0,ai-fiori-new-york
33h9Jv4VKbbxB42CUD9WQg,Wahed K.,3.0,ai-fiori-new-york
N1ZCuhN0EFevaIfn6uRTNQ,Alexandra C.,4.0,ai-fiori-new-york
E-l859cXysR01w-_LjKsNw,Annie S.,2.0,ai-fiori-new-york
